url: https://www.spotrac.com/nba/injured/_/year/2025/view/player
rank,player,pos,team,injury_details,games_missed,days_missed,cash_total
358,Lonnie Walker IV,SG,PHI,Short-Term IR: Head: 3/14-3/26/25,7,13,58344
359,Cam Whitmore,SF,HOU,Short-Term IR: Knee: 11/18/24-11/19/24 | Short-Term IR: Illness: 1/27-1/27/25,2,3,58260
360,Mason Plumlee,C,PHX,Short-Term IR: Quad: 3/19-3/21/25,2,3,56961
361,Justin Edwards,SG,PHI,"Short-Term IR: Ankle: 2/20-2/24/25, 3/4-3/4/25, 3/14-3/14/25 | Short-Term IR: Ribs: 4/7-4/13/25",9,14,55264
362,Chris Livingston,SF,MIL,"Short-Term IR: Ankle: 12/4/24-12/4/24, 12/10/24-12/10/24 | Short-Term IR: Illness: 12/23/24-12/23/24, 12/26/24-12/26/24, 3/11-3/11/25",5,5,54365
363,Christian Braun,SG,DEN,"Short-Term IR: Back: 12/16/24-12/16/24 | Short-Term IR: Foot: 3/17-3/17/25, 4/2-4/2/25",3,3,53271
364,Tyler Smith,SF,MIL,"Short-Term IR: Illness: 11/26/24-11/26/24, 1/27-1/28/25 | Short-Term IR: Back: 3/11-3/13/25 | Short-Term IR: Ankle: 4/10-4/11/25",7,8,53200
365,Colby Jones,SG,WAS,Short-Term IR: Ankle: 3/5-3/5/25 | Short-Term IR: Achilles: 3/8-3/10/25 | Short-Term IR: Leg: 4/2-4/2/25,4,4,48752
366,Toumani Camara,PF,POR,Short-Term IR: Foot: 12/28/24-12/28/24 | Short-Term IR: Illness: 1/21-1/21/25 | Short-Term IR: Calf: 3/17-3/17/25 | Short-Term IR: Ankle: 4/4-4/4/25,4,4,43492
367,Jordan Walsh,SF,BOS,Short-Term IR: Illness: 1/7-1/10/25,2,4,43492
368,Taj Gibson,C,CHA,"Short-Term IR: Illness: 3/3-3/3/25, 4/2-4/2/25",2,2,37974
369,Doug McDermott,SF,SAC,Short-Term IR: Illness: 1/29-1/29/25 | Short-Term IR: Elbow: 3/24-3/24/25,2,2,37974
370,Jarace Walker,PF,IND,Short-Term IR: Back: 2/12-2/12/25,1,1,36566
371,Duop Reath,C,POR,Short-Term IR: Knee: 4/4-4/6/25,2,3,35325
372,Taurean Prince,PF,MIL,Short-Term IR: Ankle: 2/21-2/21/25 | Short-Term IR: Knee: 4/13-4/13/25,2,2,34352
373,Trayce Jackson-Davis,PF,GSW,Short-Term IR: Illness: 2/23-2/25/25,2,3,32619
374,Matas Buzelis,SF,CHI,Short-Term IR: Illness: 12/26/24-12/26/24,1,1,29859
375,Jamison Battle,SF,TOR,Short-Term IR: Ankle: 12/16/24-12/16/24 | Short-Term IR: Nose: 2/28-3/4/25,4,6,28735
376,Moussa Diabate,PF,CHA,"Short-Term IR: Illness: 12/7/24-12/11/24, 4/9-4/11/25 | Short-Term IR: Eye: 2/12-2/12/25",5,9,28509
377,Patrick Baldwin Jr.,SF,WAS,Short-Term IR: Ankle: 12/5/24-12/5/24 | Short-Term IR: Calf: 12/8/24-12/8/24,2,2,28148
378,Jordan McLaughlin,PG,SAC,Short-Term IR: Personal: 1/16-1/16/25 | Short-Term IR: Achilles: 3/17-3/17/25,2,2,27878
379,Jaylen Wells,SG,MEM,Short-Term IR: Wrist: 4/10-4/13/25,3,4,26600
380,Scotty Pippen Jr.,PG,MEM,Short-Term IR: Wrist: 3/17-3/17/25 | Short-Term IR: Back: 4/13-4/13/25,2,2,23994
381,Branden Carlson,C,OKC,Short-Term IR: Concussion: 12/23/24-12/26/24,2,4,22780
382,Dalton Knecht,SF,LAL,Short-Term IR: Personal: 2/10-2/10/25,1,1,21949
383,Jalen Wilson,PF,BKN,Short-Term IR: Calf: 11/27/24-11/27/24 | Short-Term IR: Ankle: 4/3-4/3/25,2,2,21746
384,Julian Phillips,SF,CHI,Short-Term IR: Illness: 11/23/24-11/23/24 | Short-Term IR: Quad: 4/1-4/1/25,2,2,21746
385,Spencer Dinwiddie,PG,DAL,Short-Term IR: Knee: 4/11-4/11/25,1,1,18987
386,James Johnson,PF,IND,Short-Term IR: Illness: 2/23-2/23/25,1,1,18987
387,Cory Joseph,PG,ORL,Short-Term IR: Knee: 4/13-4/13/25,1,1,18987
388,Reggie Jackson,PG,PHI,Short-Term IR: Knee: 11/30/24-11/30/24,1,1,18987
389,Tyus Jones,PG,PHX,Short-Term IR: Illness: 1/4-1/4/25,1,1,17261
390,Lamar Stevens,SF,MEM,Short-Term IR: Shoulder: 3/19-3/25/25,3,7,16555
391,Javonte Green,SG,NOP,Short-Term IR: Ankle: 12/12/24-12/12/24,1,1,13939
392,Keon Johnson,SG,BKN,Short-Term IR: Rest: 4/8-4/8/25,1,1,12429
393,Neemias Queta,C,BOS,Short-Term IR: Illness: 2/23-2/23/25,1,1,12429
394,Tyler Kolek,PG,NYK,Short-Term IR: Ankle: 2/12-2/12/25,1,1,11997
395,Josh Minott,SF,MIN,Short-Term IR: Illness: 1/4-1/4/25,1,1,11607
396,Caleb Houstan,SF,ORL,Short-Term IR: Illness: 2/3-2/3/25,1,1,11607
397,Gui Santos,SF,GSW,Short-Term IR: Knee: 2/6-2/6/25,1,1,10873
398,Andre Jackson Jr.,SG,MIL,Short-Term IR: Hip: 1/17-1/17/25,1,1,10873
399,Leonard Miller,SF,MIN,Short-Term IR: Illness: 1/17-1/17/25,1,1,10873
400,Sidy Cissoko,SG,SAS,Short-Term IR: Concussion: 1/29-1/29/25 | Short-Term IR: Ankle: 4/3-4/4/25,3,3,9356
401,Oso Ighodaro,C,PHX,Short-Term IR: Illness: 1/4-1/4/25,1,1,6650
402,Ryan Rollins,SG,MIL,"Short-Term IR: Shoulder: 11/13/24-11/22/24, 4/13-4/13/25 | Short-Term IR: Illness: 1/12-1/12/25 | Short-Term IR: Personal: 3/8-3/8/25",8,13,5654
403,Quinten Post,C,GSW,Short-Term IR: Illness: 4/8-4/9/25,2,2,5046
404,Keshad Johnson,PF,MIA,Short-Term IR: Shoulder: 1/21-1/21/25,1,1,4166
405,Tony Bradley,C,IND,Short-Term IR: Illness: 4/2-4/2/25,1,1,1899
406,Marcus Garrett,PG,CHA,Short-Term IR: Back: 3/20-3/20/25 | Short-Term IR: Personal: 3/21-3/21/25,2,2,1230
407,Dru Smith,SG,MIA,Short-Term IR: Knee: 11/24/24-11/26/24 | IR: Achilles: 12/23/24-4/13/25,56,114,0
408,Ajay Mitchell,PG,OKC,Short-Term IR: Toe: 1/5-4/9/25,46,94,0
409,Cam Spencer,SG,MEM,Short-Term IR: Ankle: 10/23/24-11/19/24 | Short-Term IR: Thumb: 1/9-2/12/25,32,63,0
410,Ulrich Chomche,PF,TOR,IR: Knee Mcl: 2/19-4/13/25,27,53,0
411,Zyon Pullin,PG,MEM,Short-Term IR: Knee: 2/25-4/13/25,25,47,0
412,Collin Gillespie,PG,PHX,Short-Term IR: Ankle: 11/10/24-12/21/24,18,42,0
413,Adama Sanogo,PF,CHI,"Short-Term IR: Knee: 11/20/24-11/3/24, 11/23/24-11/23/24, 11/26/24-11/26/24, 11/27/24-11/27/24, 2/4-2/12/25 | Short-Term IR: Injury Management: 1/12-1/17/25",14,36,0
414,Alex Ducas,G,OKC,Short-Term IR: Achilles: 11/25/24-11/25/24 | Short-Term IR: Back: 12/14/24-12/14/24 | Short-Term IR: Quad: 3/23-4/9/25,12,20,0
415,Bryce McGowens,SG,POR,Short-Term IR: Ribs: 3/25-4/13/25,10,20,0
416,Jacob Toppin,SF,ATL,Short-Term IR: Elbow: 3/22-3/23/25 | Short-Term IR: Calf: 4/1-4/11/25,9,13,0
417,Brandon Williams,PG,DAL,"Short-Term IR: Thumb: 12/10/24-12/25/24 | Short-Term IR: Hamstring: 3/10-3/10/25, 3/19-3/19/25",8,18,0
418,Keaton Wallace,G,ATL,Short-Term IR: Shoulder: 3/22-4/2/25,7,12,0
419,Kai Jones,PF,DAL,Short-Term IR: Quad: 3/5-3/16/25,7,11,0
420,Jamal Cain,SF,NOP,"Short-Term IR: Ankle: 11/27/24-12/29/24 | Short-Term IR: Illness: 1/7-1/7/25, 2/12-2/12/25, 2/13-2/13/25",5,36,0
421,Dominick Barlow,PF,ATL,Short-Term IR: Back: 10/22/24-11/1/24,5,11,0
422,Isaiah Stevens,PG,MIA,Short-Term IR: Hand: 4/5-4/13/25,5,9,0
423,Pete Nance,PF,MIL,Short-Term IR: Ankle: 3/1-3/9/25,5,9,0
424,Yuki Kawamura,G,MEM,Short-Term IR: Shoulder: 12/31/24-1/4/25 | Short-Term IR: Hamstring: 3/3-3/5/25,5,8,0
425,Riley Minix,SF,SAS,"Short-Term IR: Shoulder: 1/15-1/15/25, 4/8-4/13/25",5,7,0
426,Seth Lundy,SG,ATL,Short-Term IR: Ankle: 10/23/24-12/17/24,4,56,0
427,Daishen Nix,PG,MIN,Short-Term IR: Ankle: 12/23/24-12/29/24,4,7,0
428,Trevelin Queen,SG,ORL,Short-Term IR: Illness: 1/1-1/1/25 | Short-Term IR: Ankle: 3/19-3/24/25,4,7,0
429,Trey Jemison,PF,LAL,Short-Term IR: Illness: 3/14-3/19/25,4,6,0
430,Drew Peterson,F,BOS,Short-Term IR: Concussion: 1/10-1/15/25,3,6,0
431,Damion Baugh,SG,CHA,Short-Term IR: Hip: 4/4-4/8/25,3,5,0
432,Spencer Jones,SF,DEN,Short-Term IR: Adductor: 1/4-1/8/25,3,5,0
433,Jordan Goodwin,PG,LAL,Short-Term IR: Ankle: 3/2-3/6/25,3,5,0
434,Adam Flagler,G,OKC,"Short-Term IR: Hand: 11/27/24-11/28/24, 12/10/24-12/10/24, 12/14/24-12/14/24",3,4,0
435,Mason Jones,SG,SAC,Short-Term IR: Hamstring: 11/22/24-11/25/24,3,4,0
436,Jared Rhoden,SG,TOR,Short-Term IR: Finger: 3/30-3/30/25 | Short-Term IR: Shoulder: 4/11-4/13/25,3,4,0
437,D.J. Carton,PG,TOR,Short-Term IR: Ankle: 11/18/24-11/28/24,2,11,0
438,Jaylen Martin,F,BKN,Short-Term IR: Knee: 11/29/24-12/1/24,2,3,0
439,Wendell Moore Jr.,SG,CHA,Short-Term IR: Concussion: 2/27-3/1/25,2,3,0
440,E.J. Liddell,PF,CHI,Short-Term IR: Illness: 3/29-3/31/25,2,3,0
441,Elijah Harkless,PG,UTA,Short-Term IR: Groin: 4/11-4/13/25,2,3,0
442,Tristan Vukcevic,C,WAS,Short-Term IR: Knee: 4/6-4/8/25,2,3,0
443,Isaiah Crawford,G,SAC,"Short-Term IR: Ankle: 11/22/24-11/22/24, 11/25/24-11/25/24",2,2,0
444,Micah Potter,C,UTA,"Short-Term IR: Illness: 12/3/24-12/3/24, 1/17-1/17/25",2,2,0
445,Reece Beekman,PG,BKN,Short-Term IR: Calf: 4/13-4/13/25,1,1,0
446,Yongxi Cui,G,BKN,Short-Term IR: Knee: 12/13/24-12/13/24,1,1,0
447,Isaiah Wong,PG,CHA,Short-Term IR: Foot: 2/10-2/10/25,1,1,0
448,Kessler Edwards,SF,DAL,Short-Term IR: Undisclosed: 3/21-3/21/25,1,1,0
449,Enrique Freeman,PF,IND,Short-Term IR: Illness: 2/1-2/1/25,1,1,0
450,Armel Traore,SG,LAL,Short-Term IR: Quad: 12/15/24-12/15/24,1,1,0
451,Quincy Olivari,G,LAL,Short-Term IR: Ankle: 11/23/24-11/23/24,1,1,0
452,Liam Robbins,C,MIL,Short-Term IR: Groin: 2/7-2/7/25,1,1,0
453,Alex Reese,F,PHI,Short-Term IR: Achilles: 4/11-4/11/25,1,1,0
454,Oscar Tshiebwe,PF,UTA,Short-Term IR: Illness: 3/9-3/9/25,1,1,0
455,JT Thor,PF,WAS,Short-Term IR: Knee: 4/13-4/13/25,1,1,0
456,Justin Champagnie,SF,WAS,Short-Term IR: Ribs: 2/7-2/7/25,1,1,0
